행정구역,2020년1월_총인구수,2020년2월_총인구수,2020년3월_총인구수,2020년4월_총인구수,2020년5월_총인구수,2020년6월_총인구수,2020년7월_총인구수,2020년8월_총인구수,2020년9월_총인구수,2020년10월_총인구수,2020년11월_총인구수,2020년12월_총인구수,위도,경도
창원시마산합포구,177026,176334,175909,175504,175239,174956,174791,174879,174916,174830,174933,175716,35.19690103,128.5679
창원시마산회원구,193975,193780,193295,193101,192751,192433,192132,191618,191582,191697,191730,191289,35.22084924,128.5797
창원시진해구,193439,192971,192683,192759,192624,192563,192641,192530,192521,192498,192612,192755,35.13343325,128.7103
진주시,347489,347417,347546,347578,347519,347462,347317,347262,347598,347759,347795,348096,35.18030228,128.1086628
통영시,131089,130735,130450,130221,129997,129711,129558,129226,129064,128835,128595,128293,34.85392667,128.4339955
사천시,111845,111666,111517,111365,111268,111184,111401,111440,111442,111313,111234,111105,35.00329629,128.0642328
김해시,542713,542787,542678,542929,543072,542842,542655,542538,542435,542376,542350,542338,35.22857717,128.8892552
밀양시,105459,105457,105309,105201,105139,105133,105099,105026,104932,104924,104868,104831,35.50388523,128.7466943
거제시,248130,247574,247487,247427,247096,246878,246660,246402,246231,246133,245956,245754,34.88091089,128.6218113
양산시,351168,351457,351496,351383,351373,351596,351651,351691,351874,351910,351797,352229,35.33501899,129.0376034
의령군,27131,27082,27040,26979,26954,26957,26902,26883,26839,26864,26818,26800,35.32219253,128.2617007
함안군,65491,65277,65089,64959,64775,64724,64600,64497,64438,64351,64235,64182,35.2724085,128.406507
창녕군,62182,62161,61934,61889,61873,61825,61646,61590,61478,61561,61400,61301,35.54461845,128.4922353
고성군,52204,52058,51946,51918,51876,51811,51737,51630,51539,51477,51442,51361,34.97308291,128.3224483
남해군,43539,43479,43351,43223,43149,43102,43021,42980,42889,42893,43033,42958,34.83768596,127.8925293
하동군,46331,46146,45934,45753,45628,45454,45412,45257,45132,45033,44911,44785,35.06734434,127.7513032
산청군,35336,35277,35265,35223,35152,35140,35097,35071,34978,34921,34895,34857,35.41510337,127.8738913
함양군,39555,39499,39404,39377,39353,39321,39274,39236,39150,39141,39076,39080,35.52053795,127.7251843
거창군,62049,61972,61822,61700,61729,61681,61578,61468,61455,61459,61409,61502,35.68666343,127.9094852
합천군,45054,44910,44813,44702,44621,44515,44434,44295,44195,44172,44088,44006,35.56668331,128.1658663
제주시,489202,489456,489271,489466,489734,490254,490772,491184,491446,491949,492072,492466,33.49958268,126.5312361
서귀포시,181547,181420,181237,181129,181059,181062,181141,181340,181502,181657,181929,182169,33.25531026,126.5349109
